Name,Address,Tel,Email
1066 Veterinary Centre,"201 Battle Road, St. Leonards-On-Sea, East Sussex TN37 7AJ",01424 839 010,enquiries@1066vet.co.uk
387 Veterinary Centre,"387 Walsall Road, Walsall, Staffordshire WS6 6DP",01922 411755,feedback@387vets.com
3 Bridges Vets,"Fordell Firs, Dunfermline, Fife KY11 7HQ",01383 667160,info@3bridgesvets.co.uk
3 Mile Veterinary Centre,"The Arc, Glasgow, G52 4BN",,
4 Paws Vets,"Head Dyke Lane, Pilling, Lancashire PR3 6SJ",,
4 Paws Vets,"The Lodge, Preston, Lancashire PR3 0HX",07900 366811,mariskarijn@hotmail.com
608 Equine and Farm Vets,"Quarry Farm, Warwick, Warwickshire CV35 7DD",01564 783404,info@608equineandfarmvets.com
AA Dog Rescue Animal Angels,"Unit 2 Red Lyons Business Park, Chelmsford, Essex CM3 6JH",07779 593129,animalangels@aadogrescue.org.uk
Aardvark Veterinary Clinic,"Aardvark Vets, Ellesmere Port, Merseyside CH65 9BE",0151 3559880,
Abbeycroft Veterinary Centre,"38 Station Road, Northwich, Cheshire CW9 5RA",01606 40332,
Abbey Equine Chepstow,"Ride and Stride, Chepstow, Gwent NP16 6DN",01291 444877,office@abbeyequine.co.uk
Abbey Equine Clinic,"Llansabbath Barns, Abergavenny, Monmouthshire NP7 9BY",01873 840069,office@abbeyequine.co.uk
Abbey Green Vets Ltd,"Church Close, Broadway, Worcestershire WR12 7AH",01386 852421,mail@abbeygreenvets.co.uk
Abbey Green Vets Ltd,"Abbey Cottage, Cheltenham, Gloucestershire GL54 5LW",01242 602235,mail@abbeygreenvets.co.uk
Abbeymoor Veterinary Centres Ltd,"110-116 Halifax Road, Sheffield, South Yorkshire S6 1LH",0114 233 4673,abbeymoor@btconnect.com
Abbeymoor Veterinary Centres Ltd,"11 Abbey Lane, Sheffield, South Yorkshire S8 0BJ",0114 274 7605,abbeymoor@btconnect.com
Abbeyserve Limited,"248 Derby Road, Chellaston, Derbyshire DE73 6RU",01332 700256,admin@abbeyderby.co.uk
Abbeyserve Limited,"465/467 Nottingham Road, Derby, Derbyshire DE21 6NA",01332 661554,admin@abbeyderby.co.uk
Abbey Veterinary Centre,"St Arvans Chambers, Abergavenny, Monmouthshire NP7 5PR",01873 852391,vets@abbeyvets.co.uk
Abbey Veterinary Centre,"Pelton Fell Road, Chester Le Street, County Durham DH2 2NG",0191 3871881,chester@abbeyvets.net
